Card,Price,Tier,Replaces,Reason
Dragonlord's Servant,0.33,Core,,"Dragons cost {1} less — stacks with Ur-Dragon's eminence, so your 5-drops land on turn 3-4."
Dragonspeaker Shaman,2.02,Core,"Kolaghan, the Storm's Fury",Dragons cost {2} less. With eminence that's {3} off every dragon — the biggest tempo swing in the list.
Drakuseth Maw of Flames,0.46,Core,,Attacks for 4 to a player plus 3+3 to creatures. One of the hardest-hitting dragons at any price.
Junji the Midnight Sky,0.58,Core,,Flying threat that gives value when it dies (reanimate or drain). Resilient in a removal-heavy pod.
Savage Ventmaw,0.32,Core,,Attacking makes {3}{R}{G}{G} — refuels into a second dragon the same turn.
Dragon's Hoard,0.39,Core,,Rock that fixes all five colors and draws a card whenever you cast a dragon. Ramp + card advantage in one slot.
Crucible of Fire,0.82,Value,,+3/+3 to every dragon. Cheap anthem that turns the team lethal a turn early.
Sunscorch Regent,0.46,Value,,"Grows whenever an opponent casts a spell, and drains them. Cheap white dragon with a real clock."
Scourge of the Throne,0.42,Value,,"Extra combat the first time it attacks each turn — doubles the Ur-Dragon attack trigger (extra COMBAT, not extra turns, so no bracket bump)."
Vengeful Ancestor,0.38,Value,,Goad + redirect damage; a dragon body that also protects you politically.
Korvold Fae-Cursed King,0.49,Value,,Cheap 4-mana dragon that draws on every sacrifice; strong body for the price.
Goldspan Dragon,6.20,Upgrade,,Treasure on attack and on targeting; premium 5-drop that ramps into the next dragon.
Utvara Hellkite,11.80,Upgrade,,Each attacking dragon makes another 6/6 Dragon — the classic go-wide finisher for the tribe.
Hellkite Charger,4.13,Upgrade,,Untap for extra combats — with Savage Ventmaw's mana this loops into a kill.
Rite of the Dragoncaller,4.02,Upgrade,,Free 5/5 dragons each attack; converts a stalled board into a tribal army.
Terror of the Peaks,,Value,Coastal Tower,60% of The Ur-Dragon's decks run this.
Old Gnawbone,,Value,Insight,57% of The Ur-Dragon's decks run this.
Tiamat,,Core,Culling Ritual,68% of The Ur-Dragon's decks run this.
