Card,Added,Replaced,Source
Maelstrom of the Spirit Dragon,2026-07-31,Blossoming Sands,free
Talisman of Progress,2026-07-31,Two-Headed Dragon,free
Sky Diamond,2026-07-31,"Vaevictis Asmadi, the Dire",free
Moss Diamond,2026-07-31,"Niv-Mizzet, Visionary",free
Twilight Mire,2026-07-31,Faerie Conclave,free
Training Compound,2026-07-31,Forbidding Watchtower,free
Sunscorched Divide,2026-07-31,Fountain of Cho,free
Heroic Intervention,2026-07-31,Temur Ascendancy (duplicate copy),free
Swords to Plowshares,2026-08-09,"Ao, the Dawn Sky",share
Nature's Lore,2026-08-09,"Atsushi, the Blazing Sky",share
Cultivate,2026-08-09,Azorius Signet,share
Fellwar Stone,2026-08-09,Elvish Mystic,share
Roaming Throne,2026-08-09,Bonders' Enclave,share
Lightning Greaves,2026-08-09,Castle Doom,share
Rhystic Study,2026-08-09,Crystal Vein,share
Path to Exile,2026-08-09,Decadent Dragon // Expensive Taste,share
Kindred Discovery,2026-08-09,Disenchant,share
Zurgo and Ojutai,2026-08-11,Terror of the Peaks,free
"Kolaghan, the Storm's Fury",2026-08-11,Dragonspeaker Shaman,free
Broodcaller Scourge,2026-08-11,Old Gnawbone,free
"Lozhan, Dragons' Legacy",2026-08-11,Tiamat,free
Dragonspeaker Shaman,2026-08-11,"Dragonhawk, Fate's Tempest",free
Savage Ventmaw,2026-08-11,Gilded Goose,free
Dragonlord Silumgar,2026-08-11,Culling Ritual,manual-replace
Dragon Broodmother,2026-08-11,Insight,manual-replace
Sylvia Brightspear,2026-08-11,Smite,manual-replace
Kaalia of the Vast,2026-08-11,Shatter,manual-replace
Deserted Beach,2026-08-11,Coastal Tower,manual-replace
"Dragonhawk, Fate's Tempest",2026-08-11,Opportunity,manual-replace
"Niv-Mizzet, Visionary",2026-08-11,Think Twice,manual-replace
"Atsushi, the Blazing Sky",2026-08-11,Winged Words,manual-replace
"Ao, the Dawn Sky",2026-08-11,Sky Diamond,manual-replace
Wood Elves,2026-08-11,Moss Diamond,manual-replace
Blasphemous Act,2026-08-11,Seal of Fire,manual-replace
Sheltered Thicket,2026-08-11,Omashu City,manual-replace
Scattered Groves,2026-08-11,"Emeria, the Sky Ruin",manual-replace
Wooded Ridgeline,2026-08-14,Llanowar Elves,manual-replace
Canopy Vista,2026-08-14,Selvala, Heart of the Wilds,manual-replace
Turbulent Fen,2026-08-14,Talisman of Progress,manual-replace
Smaug the Magnificent,2026-08-15,Reconnaissance Mission,manual-replace
Desolation of Smaug,2026-08-15,Thought Vessel,manual-replace
Smaug the Impenetrable,2026-08-15,Kolaghan, the Storm's Fury,manual-replace
"Smaug, the Great Calamity // Spew Flame",2026-08-15,Kaalia of the Vast,manual-replace
"Neriv, Heart of the Storm",2026-08-20,"Smaug, the Great Calamity // Spew Flame",manual-replace
Hraesvelgr of the First Brood,2026-08-20,"Niv-Mizzet, Visionary",manual-replace
"Lorehold, the Historian",2026-08-20,"Ureni, the Song Unending",manual-replace
"Ureni, the Song Unending",2026-08-20,"Lorehold, the Historian",manual-replace
Radagast of Rhosgobel,2026-08-20,Hraesvelgr of the First Brood,manual-replace
