Name,Why,Alternatives
Mana Prism,A 3-mana artifact that produces mana.,Sol Ring; Arcane Signet; Mind Stone
Pilgrim's Eye,A 3-mana artifact creature that tutors up exactly the piece you need — it accelerates your mana for the deck.,Sol Ring; Arcane Signet; Mind Stone
Coveted Jewel,A 6-mana artifact that draws you cards — it accelerates your mana for the deck.,Sol Ring; Arcane Signet; Mind Stone
Disenchant,A 2-mana instant that removes a problem permanent.,Swords to Plowshares; Path to Exile; Generous Gift
Banishing Light,A 3-mana enchantment that removes a problem permanent.,Swords to Plowshares; Path to Exile; Generous Gift
Crush Contraband,A 4-mana instant that removes a problem permanent.,Swords to Plowshares; Path to Exile; Generous Gift
Leyline Axe,"A 4-mana artifact that scales or doubles your effects. A signature pick for Captain America, First Avenger — 46% of those decks run it, far above its rate elsewhere (+42 synergy).",
Cleansing Nova,"A 5-mana sorcery that sweeps the board. Commonly played in Y'shtola, Night's Blessed decks (30%).",Wrath of God; Farewell; Austere Command
Final Judgment,A 6-mana sorcery that sweeps the board.,Wrath of God; Farewell; Austere Command
Negate,A 2-mana instant that counters a spell — it protects your turn on the stack for the deck.,Counterspell; Swan Song; An Offer You Can't Refuse
Essence Scatter,A 2-mana instant that counters a spell — it protects your turn on the stack for the deck.,Counterspell; Swan Song; An Offer You Can't Refuse
Daze,A 2-mana instant that counters a spell — it protects your turn on the stack for the deck.,Counterspell; Swan Song; An Offer You Can't Refuse
Sigarda's Aid,"An enchantment. A signature pick for Captain America, First Avenger — 87% of those decks run it, far above its rate elsewhere (+82 synergy).",
"Akiri, Fearless Voyager","A creature that draws you cards. A signature pick for Captain America, First Avenger — 56% of those decks run it, far above its rate elsewhere (+53 synergy).",
"Misty Knight, Hero for Hire",A 2-mana creature that draws you cards.,
Sacred Foundry,"A land that produces mana. Commonly played in Captain America, First Avenger decks (55%).",
Raging Goblin,"A 1-mana creature that gives haste, so threats attack immediately.",
Agent Maria Hill,A 1-mana creature that draws you cards.,
"Excalibur, Sword of Eden","An artifact. A signature pick for Captain America, First Avenger — 86% of those decks run it, far above its rate elsewhere (+80 synergy).",
"Sram, Senior Edificer","A creature that draws you cards. A signature pick for Captain America, First Avenger — 76% of those decks run it, far above its rate elsewhere (+70 synergy).",
Sword of War and Peace,"An artifact that pays you off for attacking. A signature pick for Captain America, First Avenger — 71% of those decks run it, far above its rate elsewhere (+67 synergy).",
Forge Anew,"An enchantment that rebuys cards from your graveyard. A signature pick for Captain America, First Avenger — 69% of those decks run it, far above its rate elsewhere (+65 synergy).",
"Hobgoblin, Mantled Marauder","A 2-mana creature that gives haste, so threats attack immediately.",
Flawless Maneuver,"An instant that protects your board. A signature pick for Captain America, First Avenger — 69% of those decks run it, far above its rate elsewhere (+57 synergy).",
Basilisk Collar,"An artifact. A signature pick for Captain America, First Avenger — 69% of those decks run it, far above its rate elsewhere (+64 synergy).",
Stoneforge Mystic,"A creature that tutors up exactly the piece you need. A signature pick for Captain America, First Avenger — 64% of those decks run it, far above its rate elsewhere (+60 synergy).",
Kaldra Compleat,"An artifact that pays you off for attacking. A signature pick for Captain America, First Avenger — 64% of those decks run it, far above its rate elsewhere (+60 synergy).",
Hammer of Nazahn,"An artifact that protects your board. A signature pick for Captain America, First Avenger — 61% of those decks run it, far above its rate elsewhere (+56 synergy).",
Sword of Feast and Famine,"An artifact that pays you off for attacking. A signature pick for Captain America, First Avenger — 59% of those decks run it, far above its rate elsewhere (+54 synergy).",
"Codsworth, Handy Helper","An artifact creature that produces mana. A signature pick for Captain America, First Avenger — 59% of those decks run it, far above its rate elsewhere (+56 synergy).",
Masterwork of Ingenuity,"An artifact. A signature pick for Captain America, First Avenger — 58% of those decks run it, far above its rate elsewhere (+54 synergy).",
